player_id,team,nationality,birth_date,age,height,preferred_foot,position,shirt_number,market_value,pos,positions
1015675,Deportivo Madryn,ARG,13 may 1998,26 años,176 cm,Derecho,D,2,91K €,[],[]
898988,Deportivo Madryn,ARG,18 sept 1988,36 años,173 cm,Izquierdo,D,3,,[],[]
1118569,Deportivo Madryn,ARG,24 oct 1988,36 años,183 cm,Izquierdo,D,14,,[],[]
340847,Deportivo Madryn,ARG,20 sept 1990,34 años,187 cm,Derecho,G,1,105K €,[],[]
871853,Deportivo Madryn,ARG,27 mar 1998,26 años,186 cm,Derecho,G,12,,[],[]
943183,Deportivo Madryn,ARG,14 abr 1998,26 años,185 cm,Derecho,G,ARG,,[],[]
1799688,Deportivo Madryn,,Número de Camiseta,5,,,,,,[],[]
996708,Nueva Chicago,ARG,14 jun 1999,25 años,178 cm,Derecho,F,7,185K €,[],[]
800243,Nueva Chicago,ARG,28 feb 1996,28 años,177 cm,Derecho,F,9,210K €,[],[]
1184269,Nueva Chicago,ARG,16 sept 1999,25 años,174 cm,Derecho,F,19,,[],[]
980767,Nueva Chicago,ARG,26 jun 2001,23 años,180 cm,Derecho,M,19,130K €,[],[]
974656,Nueva Chicago,ARG,6 feb 2001,23 años,170 cm,Derecho,M,10,155K €,[],[]
175343,,COL,14 may 1991,33 años,168 cm,Ambos,M,18,,[],[]
1092337,Nueva Chicago,ARG,26 abr 2001,23 años,173 cm,Derecho,M,5,180K €,[],[]
895334,Nueva Chicago,ARG,27 dic 1994,29 años,163 cm,Derecho,M,16,49K €,[],[]
989881,Nueva Chicago,ARG,28 feb 2000,24 años,176 cm,Izquierdo,M,11,97K €,[],[]
1187883,Nueva Chicago,ARG,3 nov 2001,23 años,M,10,ARG,23 años,,[],[]
989989,Nueva Chicago,ARG,9 sept 1997,27 años,175 cm,M,20,ARG,,[],[]
1109374,Nueva Chicago,ARG,19 dic 2000,23 años,168 cm,Derecho,M,17,52K €,[],[]
581732,Nueva Chicago,ARG,19 sept 1996,28 años,179 cm,Izquierdo,M,17,120K €,[],[]
906813,Nueva Chicago,ARG,19 jun 1992,32 años,182 cm,Derecho,M,15,49K €,[],[]
1211928,Nueva Chicago,ARG,14 ene 1999,25 años,177 cm,Derecho,M,19,93K €,[],[]
1597543,Nueva Chicago,ARG,21 feb 2002,22 años,M,8,ARG,22 años,,[],[]
1117031,Nueva Chicago,ARG,20 jun 2001,23 años,177 cm,Derecho,M,8,70K €,[],[]
333409,Nueva Chicago,CHI,3 mar 1993,31 años,184 cm,Derecho,D,13,92K €,[],[]
901024,Nueva Chicago,ARG,6 ene 1997,27 años,188 cm,Derecho,D,2,140K €,[],[]
1654120,Nueva Chicago,URU,13 dic 1996,27 años,184 cm,Izquierdo,D,18,,[],[]
974663,Nueva Chicago,ARG,16 ago 1999,25 años,177 cm,Izquierdo,D,3,105K €,[],[]
1498998,Nueva Chicago,,Número de Camiseta,3,D,3,,,,[],[]
1109382,Nueva Chicago,ARG,18 abr 1999,25 años,187 cm,Derecho,D,6,155K €,[],[]
1090723,Nueva Chicago,ARG,16 feb 2000,24 años,182 cm,Derecho,D,2,53K €,[],[]
340761,Nueva Chicago,ARG,13 feb 1992,32 años,177 cm,Derecho,D,4,48K €,[],[]
