minute,value,event_id
6.0,17,11972398
7.0,-15,11972398
8.0,-25,11972398
9.0,-12,11972398
10.0,60,11972398
11.0,29,11972398
12.0,19,11972398
13.0,13,11972398
14.0,6,11972398
15.0,-4,11972398
16.0,3,11972398
17.0,3,11972398
18.0,2,11972398
19.0,-33,11972398
20.0,-23,11972398
21.0,-7,11972398
22.0,-3,11972398
23.0,-6,11972398
24.0,-10,11972398
25.0,-5,11972398
26.0,-98,11972398
27.0,-52,11972398
28.0,-25,11972398
29.0,-13,11972398
30.0,-7,11972398
31.0,4,11972398
32.0,2,11972398
33.0,27,11972398
34.0,23,11972398
35.0,35,11972398
36.0,17,11972398
37.0,32,11972398
38.0,44,11972398
39.0,92,11972398
40.0,55,11972398
41.0,40,11972398
42.0,29,11972398
43.0,17,11972398
44.0,2,11972398
45.0,8,11972398
45.5,-35,11972398
46.0,3,11972398
47.0,39,11972398
48.0,19,11972398
49.0,18,11972398
50.0,12,11972398
51.0,-24,11972398
52.0,-8,11972398
53.0,-8,11972398
54.0,-10,11972398
55.0,-5,11972398
56.0,-1,11972398
57.0,1,11972398
58.0,2,11972398
59.0,8,11972398
60.0,6,11972398
61.0,10,11972398
62.0,2,11972398
63.0,-4,11972398
64.0,-2,11972398
65.0,21,11972398
66.0,12,11972398
67.0,14,11972398
68.0,10,11972398
69.0,3,11972398
70.0,7,11972398
71.0,10,11972398
72.0,7,11972398
73.0,11,11972398
74.0,7,11972398
75.0,6,11972398
76.0,-94,11972398
77.0,-53,11972398
78.0,-21,11972398
79.0,-11,11972398
80.0,-5,11972398
81.0,6,11972398
82.0,11,11972398
83.0,2,11972398
84.0,-4,11972398
85.0,-55,11972398
86.0,-22,11972398
87.0,67,11972398
88.0,34,11972398
89.0,23,11972398
90.0,-43,11972398
90.5,15,11972398
1.0,-9,11972393
2.0,-2,11972393
3.0,-5,11972393
4.0,5,11972393
5.0,4,11972393
6.0,39,11972393
7.0,18,11972393
8.0,6,11972393
9.0,3,11972393
10.0,-71,11972393
11.0,-44,11972393
12.0,-31,11972393
13.0,-19,11972393
14.0,-12,11972393
15.0,-6,11972393
16.0,-3,11972393
17.0,-1,11972393
18.0,16,11972393
19.0,11,11972393
20.0,13,11972393
21.0,-24,11972393
22.0,-15,11972393
23.0,-5,11972393
24.0,5,11972393
25.0,6,11972393
26.0,1,11972393
27.0,1,11972393
28.0,-1,11972393
29.0,-2,11972393
30.0,5,11972393
31.0,-6,11972393
32.0,-2,11972393
33.0,-1,11972393
34.0,-1,11972393
35.0,-1,11972393
36.0,6,11972393
37.0,14,11972393
38.0,54,11972393
39.0,43,11972393
40.0,26,11972393
41.0,51,11972393
42.0,50,11972393
43.0,27,11972393
44.0,26,11972393
45.0,16,11972393
45.5,25,11972393
46.0,-25,11972393
47.0,-26,11972393
48.0,-11,11972393
49.0,-27,11972393
50.0,46,11972393
51.0,10,11972393
52.0,-30,11972393
53.0,-15,11972393
54.0,-8,11972393
55.0,-14,11972393
56.0,-8,11972393
57.0,-33,11972393
58.0,-55,11972393
59.0,-74,11972393
60.0,-44,11972393
61.0,-32,11972393
62.0,-29,11972393
63.0,-11,11972393
64.0,-5,11972393
65.0,-5,11972393
66.0,4,11972393
67.0,11,11972393
68.0,-7,11972393
69.0,-12,11972393
70.0,-19,11972393
71.0,74,11972393
72.0,35,11972393
73.0,15,11972393
74.0,8,11972393
75.0,49,11972393
76.0,27,11972393
77.0,5,11972393
78.0,2,11972393
79.0,20,11972393
80.0,7,11972393
81.0,-22,11972393
82.0,-12,11972393
83.0,24,11972393
84.0,2,11972393
85.0,-7,11972393
86.0,-14,11972393
87.0,-10,11972393
88.0,-15,11972393
89.0,-15,11972393
90.0,-15,11972393
90.5,-25,11972393
0.0,0,11972387
1.0,-3,11972387
2.0,-86,11972387
3.0,-50,11972387
4.0,-29,11972387
5.0,-18,11972387
6.0,-11,11972387
7.0,-6,11972387
8.0,-9,11972387
9.0,-51,11972387
10.0,-52,11972387
11.0,-76,11972387
12.0,-46,11972387
13.0,-78,11972387
14.0,-34,11972387
15.0,-19,11972387
16.0,-5,11972387
17.0,-4,11972387
18.0,5,11972387
19.0,6,11972387
20.0,-31,11972387
21.0,-18,11972387
22.0,30,11972387
23.0,21,11972387
24.0,37,11972387
25.0,19,11972387
26.0,11,11972387
27.0,34,11972387
28.0,20,11972387
29.0,20,11972387
30.0,7,11972387
31.0,-6,11972387
32.0,-14,11972387
33.0,-9,11972387
34.0,25,11972387
35.0,22,11972387
36.0,28,11972387
37.0,17,11972387
38.0,65,11972387
39.0,36,11972387
40.0,-51,11972387
41.0,-25,11972387
42.0,-15,11972387
43.0,-43,11972387
44.0,-50,11972387
45.0,-51,11972387
45.5,25,11972387
46.0,-45,11972387
47.0,-12,11972387
48.0,36,11972387
49.0,48,11972387
50.0,24,11972387
51.0,29,11972387
52.0,19,11972387
53.0,15,11972387
54.0,-30,11972387
55.0,-13,11972387
56.0,11,11972387
57.0,77,11972387
58.0,27,11972387
59.0,14,11972387
60.0,10,11972387
61.0,11,11972387
62.0,2,11972387
63.0,9,11972387
64.0,-29,11972387
65.0,-64,11972387
66.0,-33,11972387
67.0,-19,11972387
68.0,-6,11972387
69.0,-6,11972387
70.0,6,11972387
71.0,4,11972387
72.0,-5,11972387
73.0,-7,11972387
74.0,71,11972387
75.0,36,11972387
76.0,47,11972387
77.0,-40,11972387
78.0,-11,11972387
79.0,-47,11972387
80.0,-27,11972387
81.0,-28,11972387
82.0,-19,11972387
83.0,-11,11972387
84.0,11,11972387
85.0,29,11972387
86.0,23,11972387
87.0,9,11972387
88.0,-10,11972387
89.0,10,11972387
90.0,2,11972387
90.5,-5,11972387
1.0,0,11972416
2.0,-7,11972416
3.0,25,11972416
4.0,22,11972416
5.0,16,11972416
6.0,8,11972416
7.0,-22,11972416
8.0,-14,11972416
9.0,-17,11972416
10.0,-13,11972416
11.0,-10,11972416
12.0,-7,11972416
13.0,-12,11972416
14.0,-10,11972416
15.0,-4,11972416
16.0,42,11972416
17.0,27,11972416
18.0,-32,11972416
19.0,-12,11972416
20.0,-14,11972416
21.0,-8,11972416
