event_id,round_number,home_id,home_shortName,home_score,away_id,away_shortName,away_score
11972693,16,36841,Ferro Carril Oeste,1.0,264945,San Miguel,0.0
11972701,16,107201,Brown de Adrogué,0.0,222126,Gimnasia y Tiro,0.0
11972694,16,222120,Deportivo Madryn,3.0,53799,Atlanta,0.0
11972690,16,224646,Güemes,1.0,93107,Estudiantes B.A.,0.0
11972703,16,93109,Dep. Morón,1.0,3200,Nueva Chicago,0.0
11972685,16,36834,All Boys,1.0,53801,Guillermo Brown,1.0
11972700,16,4938,Almagro,0.0,255425,Mitre,0.0
11972689,16,273715,Alvarado,2.0,3214,Chacarita Jrs.,1.0
11972692,16,213042,Deportivo Maipú,1.0,4936,Quilmes,1.0
11972698,16,252726,Chaco For Ever,3.0,266694,Estudiantes R.C.,0.0
11972691,16,5292,Gimnasia J.,2.0,201162,Talleres R.E.,1.0
11972687,16,43741,Patronato,0.0,3221,Arsenal,0.0
11972688,16,273657,Racing de Córdoba,0.0,23950,SM Tucumán,1.0
12338766,16,52215,Defensores,0.0,36836,Aldosivi,2.0
12338767,16,112499,Temperley,1.0,188441,Gimnasia Mendoza,3.0
11972723,17,93109,Dep. Morón,,264945,San Miguel,
11972710,17,3221,Arsenal,0.0,273657,Racing de Córdoba,2.0
11972720,17,3207,Colón,1.0,34976,Atlético Rafaela,0.0
11972714,17,3200,Nueva Chicago,1.0,112499,Temperley,0.0
11972708,17,3214,Chacarita Jrs.,2.0,224646,Güemes,0.0
11972706,17,201162,Talleres R.E.,2.0,213042,Deportivo Maipú,3.0
11972721,17,43740,Almirante Brown,0.0,222120,Deportivo Madryn,1.0
11972707,17,93107,Estudiantes B.A.,1.0,5292,Gimnasia J.,0.0
11972712,17,53801,Guillermo Brown,2.0,93513,Tristán Suárez,1.0
12364770,17,93109,Dep. Morón,0.0,264945,San Miguel,1.0
11972715,17,188441,Gimnasia Mendoza,3.0,107201,Brown de Adrogué,1.0
11972716,17,222126,Gimnasia y Tiro,1.0,4938,Almagro,1.0
11972718,17,36836,Aldosivi,1.0,252726,Chaco For Ever,1.0
11972717,17,255425,Mitre,2.0,52215,Defensores,0.0
11972711,17,7772,San Martín,1.0,43741,Patronato,0.0
11972719,17,266694,Estudiantes R.C.,0.0,213361,San Telmo,1.0
11972709,17,23950,SM Tucumán,1.0,273715,Alvarado,0.0
11972705,17,4936,Quilmes,1.0,36841,Ferro Carril Oeste,4.0
12377426,17,53799,Atlanta,1.0,93515,Def. Unidos,1.0
11972713,17,265787,Agropecuario,2.0,36834,All Boys,1.0
11972739,18,4938,Almagro,2.0,188441,Gimnasia Mendoza,2.0
11972738,18,52215,Defensores,1.0,222126,Gimnasia y Tiro,0.0
11972724,18,93513,Tristán Suárez,2.0,265787,Agropecuario,1.0
11972732,18,264945,San Miguel,1.0,4936,Quilmes,0.0
11972742,18,36834,All Boys,1.0,53799,Atlanta,0.0
11972741,18,112499,Temperley,3.0,93109,Dep. Morón,0.0
11972740,18,107201,Brown de Adrogué,0.0,3200,Nueva Chicago,0.0
11972727,18,273715,Alvarado,2.0,3221,Arsenal,1.0
11972733,18,93515,Def. Unidos,0.0,43740,Almirante Brown,1.0
11972730,18,213042,Deportivo Maipú,1.0,93107,Estudiantes B.A.,0.0
11972728,18,224646,Güemes,0.0,23950,SM Tucumán,0.0
11972726,18,273657,Racing de Córdoba,0.0,7772,San Martín,0.0
11972736,18,213361,San Telmo,,36836,Aldosivi,
11972734,18,222120,Deportivo Madryn,0.0,3207,Colón,0.0
11972737,18,252726,Chaco For Ever,1.0,255425,Mitre,1.0
11972731,18,36841,Ferro Carril Oeste,0.0,201162,Talleres R.E.,1.0
11972725,18,43741,Patronato,0.0,53801,Guillermo Brown,0.0
